2023-06-30 10:40:50,378; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:40:50,381; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:40:51,382; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:40:51,385; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:40:51,387; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:40:51,388; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:40:52,390; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:40:52,392; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:40:53,394; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:40:53,397; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:40:53,419; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:40:53,421; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:40:54,422; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:40:54,424; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:40:55,426; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:40:55,428; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:40:55,430; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:40:55,432; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:40:56,433; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:40:56,436; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
